#OTU ID,C1,W2,C2,S1,A1,K1,G2,I2,A2,Q2,V2,X2,U1,T1,Z2,Y2,W1,G1,K2,S2,I1,V1,Q1,X1,D1,U2,Y1,D2,T2,Z1,E2,E1,L1,P2,H2,N2,J1,R1,F2,M1,O2,B2,B1,L2,P1,J2,N1,H1,F1,R2,O1,M2
6f1ef5652fec7baf3341adf218299edb,1394,898,1127,16,76,721,1728,119,130,1359,177,176,1387,1123,1054,689,882,1885,787,6,88,143,1485,178,1358,1040,771,1027,1039,798,1251,2011,383,242,186,8,15,1388,698,1236,1313,19,13,281,325,5,9,164,619,1341,1220,1031
98b4799119283d1389a0151e222832cd,1229,586,1009,62,13,14843,2593,668,38,363,728,87,622,11743,4424,1103,534,2685,13338,46,643,713,296,33,581,759,1051,406,9407,4915,449,881,341,85,96,83,51,1825,699,221,8970,27,15,264,48,93,122,144,680,1643,7683,89
f4abd32ff2c89cbbf103dd8a13d63d7c,1203,91,890,3,2,76,686,7,2,15,0,0,256,50,171,530,137,836,64,4,0,0,38,6,440,241,589,225,47,82,246,318,8,3,5,2,0,579,149,441,286,0,0,0,0,0,4,5,116,603,250,285
91247b8e53a048da3d777777284d8dad,900,182,761,78,13,7010,4085,2037,35,685,2841,156,432,5231,6511,773,167,4574,6477,72,2194,2971,618,131,878,323,759,713,4335,7006,220,319,237,202,91,60,53,5325,246,805,11900,41,41,164,152,27,89,140,278,4756,10120,747
fbbc649b1c6ec671b3ad2248ffc21563,866,50,796,20,308,2900,1003,54,717,6298,8,264,927,1684,1248,1475,46,1204,3058,18,14,10,6828,209,362,752,1521,447,1417,1170,185,379,1359,315,837,6,13,2309,140,1420,2949,55,72,1487,230,14,10,931,139,2256,2737,1207
e9152853e1d8630f9e0a26870da742a9,831,279,639,0,0,0,0,20,0,0,45,113,112,0,0,476,313,0,0,0,31,44,0,104,214,99,443,196,0,0,115,159,0,31,0,5,0,0,216,104,0,0,0,0,50,0,0,0,177,0,0,102
5fbd67cda1e78321177bd4c3762d720f,817,189,705,0,0,0,6,109,0,14,152,81,1127,0,0,273,181,2,0,0,115,141,11,59,75,722,292,56,0,0,1590,1890,0,29,0,2,0,2,178,43,0,88,88,3,108,0,0,4,118,3,0,48
ec884156bfdaa8333e0a800b35a71d54,796,344,520,7,6,996,137,37,46,366,52,93,566,1825,802,198,378,113,923,7,19,48,323,101,356,571,191,272,1701,799,676,888,117,63,28,4,0,56,220,143,990,47,31,85,31,2,0,34,187,52,974,145
e66893ec9c61f9999656e619c08ae986,781,158,677,6,0,447,19,24,2,793,23,43,15,391,372,344,155,24,495,7,20,16,899,40,168,16,372,105,326,219,44,39,157,22,124,5,0,24,238,135,1012,6,6,161,65,0,3,120,187,22,1029,128
b9dc48f4d98a8df739a779de4f256941,769,10,558,567,449,6,4083,53,1295,1983,8,2929,273,20,2,269,67,5023,4,598,7,5,2144,2475,2321,216,338,1471,5,0,583,593,3260,1282,1930,1561,904,2361,37,1491,0,6549,5363,2737,1962,837,1447,1852,111,2382,0,1221
bb1aede821f34ae2ff572dd104ab9edc,708,219,495,8,2,80,979,16,0,417,37,110,493,130,151,338,190,1173,93,0,8,34,540,62,330,284,427,267,130,134,439,533,0,68,3,6,0,606,157,295,180,0,0,0,111,0,1,0,128,719,127,266
02ee69101655c2c379be21482892c23c,701,0,674,2,0,0,7,0,4,45,0,3,73,0,2,1124,2,15,0,2,0,0,46,0,0,21,1306,2,0,0,7,17,0,0,0,0,0,74,0,25,3,0,0,0,0,0,0,0,0,88,0,52
352802c9d8be8d8759fb43d289b818f6,674,0,600,0,0,0,0,0,0,4,3,39,114,0,0,700,0,16,2,0,0,0,0,29,13,79,914,6,0,3,24,42,1,51,1,0,0,21,0,136,3,5,1,2,56,0,0,4,2,11,0,150
df4ae84d1e62e9ba7a0a5fb518d5b126,630,441,460,469,14,1947,189,1060,15,12,1682,504,89,2536,150,140,450,201,1849,572,1141,1469,19,554,497,66,153,159,2205,146,194,239,149,394,127,1485,117,120,374,176,171,1681,1436,175,867,133,1304,119,309,92,172,115
132244e7d03cc5f4e29a59d9440488e7,597,67,416,0,9,306,829,17,27,209,24,461,182,416,638,213,75,959,317,0,19,27,228,385,658,130,245,442,390,554,195,241,32,391,26,0,0,562,60,537,504,181,143,31,506,0,0,33,49,603,512,464
95b599ea0ddc5a65f29d8e807785011c,591,1441,461,6,54,1480,32,309,99,131,867,2304,134,2667,3264,301,1516,17,1558,0,457,896,208,1930,889,76,365,552,2377,2642,154,217,105,1368,70,3,3,6,379,640,2320,4358,4163,84,1833,0,3,58,362,11,2337,489
a5e9e3253c3a817795de811b3b7876ad,513,14,430,0,0,307,223,35,1,145,84,417,304,665,441,268,65,231,306,0,56,68,155,262,205,200,245,129,524,454,464,556,7,150,0,0,0,122,16,142,426,32,45,8,396,0,0,4,32,155,344,134
a43f1cb4098183bc58828a5f288249e0,490,57,442,9,305,0,5081,17,645,1997,0,0,205,0,0,263,66,5528,0,4,0,0,2626,0,1370,268,309,1037,0,0,301,381,1082,0,754,1,0,3320,53,1439,0,2,2,1054,33,5,8,755,80,3468,0,991
fa54247f3b7a2194cf8f626d65d4702a,460,11,259,228,826,0,6330,62,1775,3203,0,2854,160,3,0,127,11,7699,2,256,0,0,3919,2448,1261,138,164,705,0,0,273,341,4587,1407,2505,460,329,2919,15,794,0,2550,2205,3755,1567,290,421,2666,95,2967,0,761
4559f6a9fd835b9be8f0739368d8f53f,445,8,403,12,548,1094,1074,18,1433,1073,3,350,416,584,396,640,12,1376,1084,0,0,9,1520,323,57,336,804,45,471,290,95,169,168,346,293,7,0,1072,0,522,502,561,374,167,371,0,8,257,24,1139,560,381
8f32458565405e1b1289023dcc7a7a30,429,37,423,0,14,72,904,7,17,115,6,36,606,178,148,82,59,1064,60,3,7,5,145,71,527,564,160,235,147,98,1535,1705,268,23,65,7,0,309,32,212,124,14,9,240,32,0,0,88,57,335,119,194
1669e6d156bac4e9fcbd417984f0fa4e,422,173,307,2,0,285,12,146,3,42,228,89,966,390,318,278,181,19,366,0,212,230,45,58,70,810,287,95,437,233,723,1202,3,35,5,9,5,34,239,84,335,28,18,0,23,2,8,1,164,24,304,124
fab3fd2d494ec2e8b120285baf2cd86e,420,493,390,7,0,309,272,0,0,43,0,0,336,22,814,442,467,271,372,19,0,0,39,0,450,298,360,421,79,726,227,371,45,6,20,13,14,96,487,252,1931,2,0,6,0,0,8,39,564,113,1646,242
3ce959760e4b3803582b759724eaaa38,402,0,423,0,0,0,2,13,0,0,0,0,0,0,0,141,0,0,0,0,7,2,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9188c24f140f94e8133b1e9209043bcd,401,422,290,2,0,4,0,5,0,3,0,2,753,4,980,88,546,8,16,4,4,2,5,0,5,642,130,2,10,718,1419,1911,0,0,0,5,0,3,291,7,944,0,0,0,0,0,0,0,263,2,1047,5
2cfe9c4ed0fd92fcfca5a74bb15ef2fd,398,1269,230,8,0,269,0,24,0,105,54,165,99,254,515,202,1304,0,259,5,37,60,123,100,173,71,146,80,379,396,247,335,0,129,0,4,0,0,808,279,527,308,113,0,0,2,0,0,626,0,536,226
7c59725d24ec30e3c5256fe9535d1326,390,619,281,0,0,326,148,113,0,46,300,98,298,668,639,175,612,209,508,3,132,334,41,53,259,284,284,255,889,361,248,439,19,37,12,6,0,96,414,286,666,8,8,27,20,2,8,7,301,113,602,204
